code,foodName,details.description,details.group,details.previous,details.references,details.footnote,factors.edibleProportion,factors.specificGravity,factors.totalSolids,factors.nitrogenConversionFactor,factors.glycerolConversionFactor,proximates.WATER,proximates.TOTNIT,proximates.PROT,proximates.FAT,proximates.CHO,proximates.KCALS,proximates.KJ,proximates.STAR,proximates.OLIGO,proximates.TOTSUG,proximates.GLUC,proximates.GALACT,proximates.FRUCT,proximates.SUCR,proximates.MALT,proximates.LACT,proximates.ALCO,proximates.ENGFIB,proximates.AOACFIB,proximates.SATFAC,proximates.SATFOD,proximates.TOTn6PFAC,proximates.TOTn6PFOD,proximates.TOTn3PFAC,proximates.TOTn3PFOD,proximates.MONOFACc,proximates.MONOFODc,proximates.MONOFAC,proximates.MONOFOD,proximates.POLYFACc,proximates.POLYFODc,proximates.POLYFAC,proximates.POLYFOD,proximates.SATFACx6,proximates.SATFODx6,proximates.TOTBRFAC,proximates.TOTBRFOD,proximates.FACTRANS,proximates.FODTRANS,proximates.CHOL,inorganics.NA,inorganics.K,inorganics.CA,inorganics.MG,inorganics.P,inorganics.FE,inorganics.CU,inorganics.ZN,inorganics.CL,inorganics.MN,inorganics.SE,inorganics.I,inorganics.RET,inorganics.CAREQU,inorganics.RETEQU,inorganics.VITD,inorganics.VITE,inorganics.VITK1,inorganics.THIA,inorganics.RIBO,inorganics.NIAC,inorganics.TRYP60,inorganics.NIACEQU,inorganics.VITB6,inorganics.VITB12,inorganics.FOLT,inorganics.PANTO,inorganics.BIOT,inorganics.VITC,vitamin_fractions.ALTRET,vitamin_fractions.13CISRET,vitamin_fractions.DEHYRET,vitamin_fractions.RETALD,vitamin_fractions.ACAR,vitamin_fractions.BCAR,vitamin_fractions.CRYPT,vitamin_fractions.LUT,vitamin_fractions.LYCO,vitamin_fractions.25OHD3,vitamin_fractions.VITD3,vitamin_fractions.5METHF,vitamin_fractions.ATOPH,vitamin_fractions.BTOPH,vitamin_fractions.DTOPH,vitamin_fractions.GTOPH,vitamin_fractions.ATOTR,vitamin_fractions.GTOTR,SFA.FOD4,SFA.FOD6,SFA.FOD8_0,SFA.FOD10_0,SFA.FOD11_0xb,SFA.FOD12_0,SFA.FOD12_0xb,SFA.FOD13_0,SFA.FOD13_0xb,SFA.FOD14_0,SFA.FOD14_0xb,SFA.FOD15_0,SFA.FOD15_0xb,SFA.FOD16_0,SFA.FOD16_0xb,SFA.FOD17_0,SFA.FOD17_0xb,SFA.FOD18_0,SFA.FOD18_0xb,SFA.FOD19_0,SFA.FOD20_0,SFA.FOD20_0xb,SFA.FOD22_0,SFA.FOD22_0xb,SFA.FOD24_0,SFA.FOD24_0xb,SFA.FOD25_0xb,MUFA.FOD10_1,MUFA.FOD10_1c,MUFA.FOD12_1,MUFA.FOD12_1c,MUFA.FOD14_1,MUFA.FOD14_1c,MUFA.FOD15_1,MUFA.FOD15_1c,MUFA.FOD16_1,MUFA.FOD16_1c,MUFA.FOD17_1,MUFA.FOD17_1c,MUFA.FOD18_1,MUFA.FOD18_1c,MUFA.FOD18_1n9,MUFA.FOD18_1n7,MUFA.FOD20_1,MUFA.FOD20_1c,MUFA.FOD22_1,MUFA.FOD22_1c,MUFA.FOD22_1n11,MUFA.FOD22_1n9,MUFA.FOD24_1,MUFA.FOD24_1c,MUFA.MONOFODtr,PUFA.FOD16_2,PUFA.FOD16_2c,PUFA.FOD16_3,PUFA.FOD16_4,PUFA.FOD16_4c,PUFA.FOD16 poly,PUFA.FOD18_2,PUFA.FOD18_2cn6,PUFA.FOD18_3,PUFA.FOD18_3cn3,PUFA.FOD18_3cn6,PUFA.FOD18_4,PUFA.FOD18_4cn3,PUFA.FOD18 poly,PUFA.FOD20_2,PUFA.FOD20_2cn6,PUFA.FOD20_3,PUFA.FOD20_3cn6,PUFA.FOD20_4,PUFA.FOD20_4cn6,PUFA.FOD20_5,PUFA.FOD20_5cn3,PUFA.FOD20 poly,PUFA.FOD21_5,PUFA.FOD21_5cn3,PUFA.FOD22_2,PUFA.FOD22_2cn6,PUFA.FOD22_3cn6,PUFA.FOD22_4,PUFA.FOD22_4cn6,PUFA.FOD22_5,PUFA.FOD22_5cn3,PUFA.FOD22_6,PUFA.FOD22_6cn3,PUFA.FOD22 poly,PUFA.POLYFODtr,phytosterols.TotalPHYTO,phytosterols.OtherCHOLandPHYTO,phytosterols.PHYTO,phytosterols.BSITPHYTO,phytosterols.BRASPHYTO,phytosterols.CAMPHYTO,phytosterols.D5AVEN,phytosterols.D7AVEN,phytosterols.D7STIG,phytosterols.STIGPHYTO,organic_acids.CITA
13-149,"Amaranth leaves, raw",Literature sources,DG,,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculature Organization and US Department of Health",,0.89,,,,,88.9,0.56,3.5,0.3,0.3,18,75,0.1,,0.2,Tr,0,0.2,Tr,0,0,,N,,,0.1,,,,,,,,0.1,,,,0.1,,,,,,,0,13,620,270,130,65,3.00,0.13,0.6,14,1.00,N,N,0,1725,285,0.0,N,,0.07,0.22,0.7,0.9,1.6,N,0.0,85,N,N,42,,,,,185,1585,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,
14-001,Amla,Literature sources,FA,,"Gopalan et al. (1980) Nutritive value of Indian foods, National Insitute of Nutrition, Indian Council of Medical Research",,0.89,,,,,81.8,0.08,0.5,0.1,13.7,58,243,N,,N,N,,N,N,0,0,,N,,,Tr,,,,,,,,Tr,,,,Tr,,,,,,,0,5,230,50,N,20,1.20,0.18,N,N,N,N,N,0,9,1,0.0,N,,0.03,0.01,0.2,N,N,N,0.0,N,N,N,N,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-448,"Anchovies, canned in oil, drained","10 samples, 4 brands",JC,16-323 ,"Data from Fish and Fish Products Supplement, 1993 (16-168) except fatty acids and phytosterols  from RHM, fatty acids in foods, 1993",,0.74,,,6.25,0.9,46.4,4.03,25.2,10,0,191,798,0,,0,0,0,0,0,0,0,0,0,0,16.1,1.6,,,,,,,53,5.3,,,18.4,1.8,,,,,0.5,Tr,63,5870,230,300,56,300,4.10,0.17,3.0,9100,0.18,N,N,57,Tr,57,N,N,,Tr,0.10,3.8,4.7,8.5,N,11.0,18,N,N,Tr,41,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,,,,
13-802,Anise seeds,Literature sources,H,,"Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2",,1,,,,,9.5,2.82,17.6,15.9,N,N,N,N,,N,N,0,N,N,0,0,,N,,,2.3,,,,,,,,9.8,,,,3.1,,,,,,,0,16,1440,650,170,440,37.00,0.91,5.3,N,2.30,N,N,0,N,0,0.0,N,,N,N,N,N,N,N,0.0,0,N,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,
14-272,"Apple juice concentrate, unsweetened, commerical","10 samples, 68.6 Brix; imported commercial concentrate",PE,,"Fruit and Nuts Supplement, 1992",,1,,,,,31.4,0.08,0.5,0.6,57.6,223,952,0,,57.6,13.2,,33.9,10.4,0,0,0,Tr,,,0.1,,,,,,,,Tr,,,,0.3,,,,,,,0,11,640,35,29,38,1.60,Tr,0.1,7,0.50,Tr,Tr,0,Tr,Tr,0.0,0.02,,0.01,0.02,0.7,0.1,0.8,0.07,0.0,1,0.22,2.0,49,,,,,0,Tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-331,"Apple juice, clear, ambient and chilled","10 samples, 9 brands, from concentrate",FC,14-271 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,1,,,6.25,,86.6,0.02,0.1,Tr,9.7,37,157,0,,9.7,2.4,Tr,5.5,1.8,0,0,0,Tr,Tr,,Tr,,,,,,,,Tr,,,,Tr,,,,,,Tr,0,3,89,6,4,6,0.06,0.01,Tr,64,0.03,Tr,Tr,0,Tr,Tr,0.0,Tr,,0.05,0.02,0.2,Tr,0.2,0.05,0.0,1,0.05,0.9,26,,,,,,,,,,,,,Tr,Tr,Tr,Tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-851,"Apple sauce, homemade",Recipe,WC,17-608 ,Updated 2014,,1,,,,,77.5,0.04,0.3,0.2,20.2,79,336,Tr,,20.2,1.6,,4.8,13.7,0,0,0,1.3,1.4,,0.05,,,,,,,,0.02,,,,0.11,,,,,,Tr,0,2,75,5,3,6,0.11,0.03,0.0,N,0.02,Tr,3,0,0,0,0.0,0.10,,0.03,0.01,0.1,0.1,0.2,0.04,0.0,1,Tr,0.7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-344,"Apples, cooking, baked with sugar, flesh only",Calculated from 672g apple (14-342) and 40g sugar (17-061),FA,14-007 ,Updated 2014,,1,,,6.25,0.8,79.9,0.02,0.2,0.4,17.1,69,292,Tr,,17.1,2.4,0,6.6,8.1,0,0,0,1.4,1.9,,0.07,,,,,,,,0.04,,,,0.14,,,,,,0,0,1,100,5,3,8,0.17,0.04,Tr,83,0.02,Tr,4,0,Tr,Tr,0.0,0.12,,0.02,0.04,0.2,0.1,0.3,0.06,0.0,Tr,0.12,1.1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-345,"Apples, cooking, baked with sugar, flesh only, weighed with skin",Calculated from 14-344 using edible portion of 0.84,FA,14-008 ,Updated 2014,,0.84,,,6.25,0.8,67.1,0.02,0.2,0.3,14.3,57,243,Tr,,14.3,2,0,5.5,6.8,0,0,0,1.2,1.6,,0.06,,,,,,,,0.03,,,,0.12,,,,,,0,0,1,84,4,3,6,0.14,0.04,Tr,70,0.02,Tr,3,0,Tr,Tr,0.0,0.10,,0.02,0.03,0.2,0.1,0.3,0.05,0.0,Tr,0.10,0.9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-342,"Apples, cooking, baked without sugar, flesh only",Calculated from 14-320,FA,14-010 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,1,,,6.25,0.8,85,0.02,0.2,0.4,11.4,47,201,Tr,,11.4,2.5,0,7,1.9,0,0,,1.5,2,,0.07,,,,,,,,0.04,,,,0.15,,,,,,0,0,1,103,3,3,8,0.12,0.04,Tr,86,0.02,Tr,4,0,Tr,Tr,0.0,0.13,,0.02,0.04,0.2,0.1,0.3,0.06,0.0,Tr,0.13,1.2,15,,,,,Tr,Tr,Tr,Tr,Tr,,,,0.13,Tr,Tr,Tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-343,"Apples, cooking, baked without sugar, flesh only, weighed with skin",Calculated from 14-342 using edible portion of 0.84,FA,14-011 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,0.84,,,6.25,0.8,71.4,0.02,0.2,0.3,9.6,40,168,Tr,,9.6,2.1,0,5.9,1.6,0,0,,1.3,1.7,,0.06,,,,,,,,0.03,,,,0.13,,,,,,0,0,1,87,3,3,7,0.10,0.03,Tr,72,0.02,Tr,3,0,Tr,Tr,0.0,0.13,,0.02,0.03,0.2,0.1,0.3,0.05,0.0,Tr,0.11,1.0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-362,"Apples, cooking, raw, flesh only, peeled","Bramley apples and unspecified. Analytical data, 1985-86; and 2011-12",F,14-002 ,"LGC, Nutritional composition of fresh fruit, 1985-1986; and Fruit and Nuts Supplement, 1992",,1,,,6.25,,87.7,0.05,0.3,0.3,8.9,37,159,Tr,,8.9,2,,5.9,1,0,0,0,1.6,1.7,,0.06,,,,,,,,0.03,,,,0.13,,,,,,0,0,2,88,4,3,7,0.10,0.02,Tr,N,0.02,Tr,4,0,Tr,Tr,0.0,0.12,,0.04,0.02,0.1,0.1,0.2,0.06,0.0,5,Tr,1.2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
